id	name
235	Курсовое проектирование 1
597	Курсовое проектирование 2
117	Лабораторный практикум по бухгалтерскому учету
598	Ландшафтная организация рекреационного объекта
236	Ландшафтное проектирование среды
566	Лингвистические особенности рекламного и PR-текста
173	Логика
250	Логистика
208	Макетирование в дизайне среды модуль 1
216	Макетирование в дизайне среды модуль 2
676	Макроэкономика (продвинутый уровень)
128	Маркетинг
515	Маркетинг в оптовой торговле
558	Маркетинг в розничной торговле
626	Маркетинг туристских бизнес-систем
135	Маркетинговые исследования
147	Маркетинговые коммуникации
559	Маркетинговый анализ в торговле
372	Масс-медийные жанры
373	Мастерская журналиста интернет-СМИ
365	Мастерская телевизионного журналиста
382	Мастерство публичного выступления
268	Математика
73	Математическая логика и теория алгоритмов
651	Математические и инструментальные методы и технологии обработки информации
352	Математические методы в психологии
61	Математический анализ модуль 1
64	Математический анализ модуль 2
517	Материаловедение
494	Материаловедение и технология конструкционных материалов
495	Машинная графика
673	Международная бизнес-среда
670	Международная и региональная безопасность
489	Международная интеграция и международные организации
148	Международная коммерческая деятельность базовый курс
681	Международная практика инвестиционного сотрудничества
191	Международное право
162	Международное трудовое право
611	Международное частное право
334	Международные организации политического и экономического сотрудничества
452	Международные стандарты финансовой отчетности
118	Международные финансовые рынки
429	Международный бизнес
612	Международный и национальные механизмы обеспечения кибербезопасности
428	Международный менеджмент
14	Межкультурная коммуникация
104	Менеджмент
439	Менеджмент инноваций в сфере инфокоммуникационных технологий
627	Менеджмент качества и конкурентоспособности услуг
628	Методология научного исследования
642	Методология научных исследований и академическое письмо
520	Методы и средства исследований в товароведении
65	Методы и технологии продвижения информационных ресурсов
287	Методы научных исследований
445	Методы финансового анализа
407	Метрология, стандартизация и подтверждение соответствия
251	Метрология, стандартизация и сертификация
483	Миграционные процессы и мировая политика
674	Микроэкономика (продвинутый уровень)
298	Мировая культура и искусство
478	Мировая политика
479	Мировая экономика
111	Мировая экономика и международные экономические отношения
446	Многомерные статистические методы
66	Моделирование бизнес-процессов
437	Моделирование и анализ бизнес процессов
82	Моделирование систем
163	Мотивация трудовой деятельности
393	Музееведение и экскурсионно-выставочная деятельность
41	Муниципальное право
105	Налоги и налогообложение
195	Налоговое право
590	Налоговый учет
15	Научно-аналитический практикум
643	Научно-исследовательская деятельность
644	Научно-исследовательская практика по получению профессиональных умений и опыта профессиональной деятельности
648	Научный семинар
238	Начертательная геометрия и инженерная графика модуль 1
241	Начертательная геометрия и инженерная графика модуль 2
200	Начертательная геометрия и технический рисунок
209	Начертательная геометрия и технический рисунок углубленный курс
339	Нейробиология модуль 1
345	Нейробиология модуль 2
636	Обеспечение безопасности в туризме
112	Обеспечение безопасности предпринимательской деятельности
340	Общая психология
548	Общая психопатология
401	Общая теория связи
278	Общая экология
244	Общая электротехника и электроника
245	Общий курс транспорта
341	Общий психологический практикум модуль 1
346	Общий психологический практикум модуль 2
347	Общий психологический практикум модуль 3
353	Общий психологический практикум модуль 4
67	Объектно-ориентированное программирование
74	Операционные системы
421	Операционный менеджмент
417	Оптические сети доступа
410	Оптоволоконные линии связи
155	Организационная культура
31	Организационное поведение
629	Организационное проектирование и управление проектами
310	Организация безопасности на авиатранспорте модуль 1
325	Организация безопасности на авиатранспорте модуль 2
577	Организация воспитательной работы с молодежью
509	Организация государственного учета и контроля технического состояния автомобилей
262	Организация дорожного движения
160	Организация и оплата труда персонала
302	Организация и планирование деятельности предприятий сервиса
136	Организация и технология торговли
599	Организация интерьеров многоуровнего пространства
433	Организация кредитования физических и юридических лиц
311	Организация предприятий малого и среднего бизнеса
366	Организация работы редакции
434	Организация работы Центрального банка
460	Организация санаторно-курортного дела
326	Организация сервиса в пунктах отправления и прибытия авиатранспорта
461	Организация службы хаускипинга в туристских и гостиничных комплексах
358	Организация социально-культурных проектов для детей и молодежи
299	Основы авиационного сервиса
436	Основы алгоритмизации и языки программирования
32	Основы безопасности труда
303	Основы бухгалтерского учета
357	Основы визажного и парикмахерского искусства
595	Основы дизайнерского проектирования
367	Основы журналистики
540	Основы заповедного дела и экологический туризм
152	Основы кадровой политики и кадрового планирования
201	Основы композиции
567	Основы корпоративных технологий
304	Основы маркетинга в сервисе и туризме
378	Основы мастерства телеведущего
556	Основы международного маркетинга
683	Основы международного учета
33	Основы менеджмента
312	Основы менеджмента в сервисе и туризме
516	Основы микробиологии
113	Основы научных исследований
379	Основы операторского дела и режиссура монтажа
143	Основы потребительских знаний
418	Основы предпринимательства
288	Основы природопользования
22	Основы промышленной политики
330	Основы противодействия коррупции
93	Основы профессиональной деятельности
505	Основы работоспособности технических систем
374	Основы радиовещания
506	Основы расчета и потребительские свойства автомобилей модуль 1
510	Основы расчета и потребительские свойства автомобилей модуль 2
561	Основы рекламы и PR
327	Основы социального государства
383	Основы сценарного дела
384	Основы теории коммуникации
485	Основы теории международных отношений
83	Основы теории управления
394	Основы туризма и индустрии гостеприимства
151	Основы управления персоналом модуль 1
51	Основы функционирования ЖКХ
356	Основы цветоведения и колористики
224	Основы шрифта и технологии графики
106	Основы экономической безопасности предприятия (бизнеса)
230	Основы эргономики в дизайне среды
263	Охрана труда на предприятиях по эксплуатации ТиТТМО
279	Оценка воздействия на окружающую среду
144	Оценка качества и конкурентоспособности товаров и услуг
453	Оценка недвижимости
34	Оценка трудовых ресурсов
571	Паблисити как PR-технологии
257	Пассажирские автомобильные перевозки
210	Педагогика
649	Педагогическая практика по получению профессиональных умений и опыта профессиональной деятельности
549	Педагогическая психология
578	Педагогическое обеспечение работы с молодежью
137	Переговоры в коммерческой деятельности
164	Планирование и прогнозирование на предприятии
431	Платежи и расчеты в коммерческом банке
425	Поведение потребителей
645	Подготовка научно-квалификационной работы (диссертации) на соискание ученой степени кандидата наук
331	Подготовка процессуальных документов
475	Политическая география стран АТР
570	Политический PR
534	Порядок определения страны происхождения товаров
272	Почвоведение и основы ландшафтоведения
242	Правила дорожного движения
614	Право Всемирной торговой организации
615	Право международных организаций
196	Право социального обеспечения
5	Правоведение
320	Правовое обеспечение сервиса и туризма
129	Правовое регулирование профессиональной деятельности
107	Правовое регулирование экономической деятельности
280	Правовые основы природопользования
583	Правовые основы работы с молодежью
663	Практикум по межкультурной коммуникации
656	Практикум по развитию речи
664	Практикум по развитию речи модуль 1
665	Практикум по развитию речи модуль 2
666	Практикум по развитию речи модуль 3
657	Практическая фонетика русского языка
658	Практический курс русского языка
619	Предметно-ориентированные информационные системы
197	Предпринимательское право
252	Прикладная математика
498	Прикладная механика модуль 1
507	Прикладная механика модуль 2
6	Прикладная физическая культура и спорт (виды спорта по выбору студента)
281	Прикладная экология модуль 1
289	Прикладная экология модуль 2
386	Проблематика в СМИ
652	Проблемы трансформации современной мировой экономики
35	Прогнозирование и планирование
637	Прогнозирование и планирование туристской деятельности
411	Программирование микропроцессоров
75	Программирование на Java
62	Программирование на С
202	Проектирование в дизайне среды модуль 1
211	Проектирование в дизайне среды модуль 2
217	Проектирование в дизайне среды модуль 3
225	Проектирование в дизайне среды модуль 4
